name,curse,wowi,repo,website,preferred
Ackis Recipe List,arl,8512-AckisRecipeList,Ackis/AckisRecipeList,,
Advanced Interface Options,advancedinterfaceoptions,25002-AdvancedInterfaceOptions,Stanzilla/AdvancedInterfaceOptions,,
Adventure Guide Lockouts,adventure-guide-lockouts,,Meivyn/AdventureGuideLockouts,,
All The Things,all-the-things,,DFortun81/AllTheThings,,
Angry Keystones,angry-keystones,,,,
Angry World Quests,angry-world-quests,,GurliGebis/AngryWorldQuests/tree/Shadowlands,,repo
AskMrRobot,askmrrobot,,,https://askmrrobot.com,
AtlasLoot Enhanced,atlasloot-enhanced,5541-AtlasLootEnhanced,,,
Auctionator,auctionator,,Auctionator/Auctionator,,
Auto Loot Plus,auto-loot-plus,,,,
Azerite Tooltip,azeritetooltip,,solaldunckel/AzeriteTooltip,,
Battle Pet Binds,battle-pet-binds,22230-BattlePetBinds,,,
Battle Pet BreedID,battle_pet_breedid,23217-BattlePetBreedID,,,
Better Vendor Price,better-vendor-price,25078-BetterVendorPrice,mooreatv/BetterVendorPrice,,
Better Wardrobe and Transmog,better-wardrobe-and-transmog,,SLOKnightfall/BetterWardrobe,,
BtW Quests,btw-quests,24680-BtWQuests,,,
BuyEmAll,buyemall,5217-BuyEmAll,J141/WoW-BuyemAll-live,,
Champion Commander,championcommander,24802-ChampionCommander,alarofrunetotem/ChampionCommander,,
Clique,clique,5108-Clique,,,
Color Picker Plus,colorpickerplus,18580-ColorPickerPlus,Jaslm/ColorPickerPlus,,
Copy Pasta,copypasta,,idlenexusgaming/CopyPasta,,
Deadly Boss Mods,deadly-boss-mods,8814-DeadlyBossMods,DeadlyBossMods/DeadlyBossMods,,
Deja Character Stats,dejacharacterstats,24060-DejaCharacterStats,dejoblue/DejaCharacterStats,,
Details! Damage Meter,details,23056-DetailsDamageMeter,Tercioo/Details-Damage-Meter,,
Dialog Key,dialogkey,,,,
Easy Delete,easy-delete,23967-EasyDelete,,,
Easy Scrap,easy-scrap,,,,
Een's Chat Window Backup,eens-chat-window-backup,18687-EensChatWindowBackup,,,
Extended Vendor UI,extended-vendor-ui,20568-ExtendedVendorUIWarlordsCompatible,,,
Fake Achievement,fake-achievement,,LenweSaralonde/FakeAchievement,,
Fishing Buddy,fishingbuddy,4239-FishingBuddy,anthonycoffey/FishingBuddy,,
Flash Taskbar,flash-taskbar,23645-FlashTaskbar,Tercioo/FlashTaskBar,,
Fleecing Tip,fleecing-tip,24891-FleecingTip,,,
Garrison Commander,garrisoncommander,23426-GarrisonCommander,alarofrunetotem/GarrisonCommander,,
Gladius,gladius,11447-Gladius,,,
GTFO,gtfo,17996-GTFO,,,
Handy Notes,handynotes,15716-HandyNotes,,,
idTip,idtip,17033-idTip,silverwind/idTip,,
iTip,itip,20037-iTip,,,
Kui Nameplates,kuinameplates,19390-KuiNameplates,kesava-wow/kuinameplates2,,
Leatrix Maps,leatrix-maps,,,http://www.leatrix.com,
Leatrix Plus,leatrix-plus,,,http://www.leatrix.com,
Macro Toolkit,macro-toolkit,,,,
Mapster,mapster,8306-Mapster,Nevcairiel/Mapster,,
Master Plan,master-plan,,,,
MBB,mbb,11047-MBBMiniMapButtonBag,vallantv/MBB,,
Memoria,memoria,,,,
Mythic Plus Timer,mythicplustimer,,FabysGames/mythicplustimer,,
NPC Scan,npcscan,12995-NPCScan,,,
Omen Threat Meter,omen-threat-meter,8459-OmenThreatMeter,,,
Omni CC,omni-cc,4836-OmniCC,tullamods/OmniCC,,
OPie,opie,9094-OPie,,https://www.townlong-yak.com/addons/opie,
Order Hall Commander,orderhallcommander,24461-OrderHallCommander,alarofrunetotem/OrderHallCommander,,
Paragon Reputation,paragon-reputation,,,,
Personal Loot Helper,personal-loot-helper,,,,
Pet Battle Master,petbattlemaster,,,,
Pet Battle Teams,pet-battle-teams,,,,
Pet Journal Enhanced,pet-journal-enhanced,,Stanzilla/PetJournal-Enhanced,,
Pet Tracker,pettracker,,Jaliborc/PetTracker,,
Postal,postal,11187-Postal,,,
Quest Completist,quest_completist,,,,
RaiderIO,raiderio,,RaiderIO/raiderio-addon,https://raider.io,
Rare Scanner,rarescanner,,,,
Rarity,rarity,,SacredDuckwhale/Rarity,,
Rematch,rematch,22190-Rematch,,,
Select,select,11607-Select,,,
Sellable Item Drops,sellableitemdrops,,,,
Set Collector,setcollector,,scottolsonjr/SetCollector,,
Simple Armory,simple-armory,,kevinclement/simplearmory-addon,,
Simple iLevel,simple-ilevel,,scotepi/wow-simpleilevel,,
Spy,spy,,,,
Tell Me When,tellmewhen,10855-TellMeWhen,ascott18/TellMeWhen,,
The Undermine Journal,undermine-journal,19662-TheUndermineJournal,,,
TomCats Tours,tomcats,,,,
TomTom,tomtom,7032-TomTom,,,
Trade Skill Master,tradeskill-master,24165-TradeSkillMaster,,https://www.tradeskillmaster.com,
Transmog Tokens,transmogtokens,,Kruithne/TransmogTokens,,
Tuk UI,,,,https://www.tukui.org,
Weak Auras 2,weakauras-2,24910-2.15.4,WeakAuras/WeakAuras2,https://weakauras.wtf,
World Quest Tab,worldquesttab,25042-WorldQuestTab,LanceDH/WorldQuestTab,,
World Quest Tracker,world-quest-tracker,23999-WorldQuestTracker,Tercioo/World-Quest-Tracker,,
World Quests List,world-quests-list,,,,
WoW Instant Messenger,wim-3,5342-WIMWoWInstantMessenger,sylvanaar/wow-instant-messenger,,
WQAchievements,wqachievements,24566-WQAchievements,Urtgard/WQAchievements,,
